image,dilution,dilution_label,tile_idx,position_y,position_x,architecture,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,UNet,0.09063720703125,0.02127838134765625,0.00098419189453125,0.0,0.9054603576660156,0.101226806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,Attention_UNet,0.07798385620117188,0.0163726806640625,2.6702880859375e-05,0.0,0.9078178405761719,0.101226806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,Attention_ResUNet,0.0481414794921875,0.0096282958984375,3.814697265625e-06,0.0,0.9197998046875,0.101226806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,UNet,0.059906005859375,0.018184661865234375,0.001316070556640625,0.0,0.9458122253417969,0.050632476806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,Attention_UNet,0.07369232177734375,0.015224456787109375,4.57763671875e-05,0.0,0.9154739379882812,0.050632476806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,Attention_ResUNet,0.0525054931640625,0.0140533447265625,6.4849853515625e-05,0.0,0.9200401306152344,0.050632476806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,UNet,0.05017852783203125,0.01822662353515625,0.001453399658203125,0.0,0.95062255859375,0.038722991943359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,Attention_UNet,0.07186508178710938,0.017635345458984375,0.00020599365234375,0.0,0.9177169799804688,0.038722991943359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,Attention_ResUNet,0.052333831787109375,0.016155242919921875,8.392333984375e-05,0.0,0.929443359375,0.038722991943359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,3,0,1536,UNet,0.046527862548828125,0.01923370361328125,0.00189208984375,0.0,0.9534378051757812,0.03981781005859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,3,0,1536,Attention_UNet,0.048267364501953125,0.017642974853515625,0.00042724609375,0.0,0.9184989929199219,0.03981781005859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,3,0,1536,Attention_ResUNet,0.048614501953125,0.01715087890625,0.0001068115234375,0.0,0.9401397705078125,0.03981781005859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,4,0,2048,UNet,0.039524078369140625,0.016204833984375,0.00112152099609375,0.0,0.9610252380371094,0.11442947387695312
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,4,0,2048,Attention_UNet,0.030139923095703125,0.01165771484375,0.001247406005859375,7.62939453125e-06,0.8264389038085938,0.11442947387695312
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,4,0,2048,Attention_ResUNet,0.039875030517578125,0.014430999755859375,2.288818359375e-05,0.0,0.9459419250488281,0.11442947387695312
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,5,0,2560,UNet,0.0517425537109375,0.01947021484375,0.000835418701171875,0.0,0.9407539367675781,0.19646453857421875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,5,0,2560,Attention_UNet,0.0357513427734375,0.010974884033203125,0.00098419189453125,1.1444091796875e-05,0.8352394104003906,0.19646453857421875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,5,0,2560,Attention_ResUNet,0.054901123046875,0.018566131591796875,6.103515625e-05,0.0,0.9209938049316406,0.19646453857421875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,6,0,3072,UNet,0.052005767822265625,0.01480865478515625,0.000255584716796875,0.0,0.9069671630859375,0.23268890380859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,6,0,3072,Attention_UNet,0.048740386962890625,0.007221221923828125,0.000438690185546875,7.62939453125e-06,0.83892822265625,0.23268890380859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,6,0,3072,Attention_ResUNet,0.11283111572265625,0.020236968994140625,0.0,0.0,0.8473625183105469,0.23268890380859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,UNet,0.10202789306640625,0.02281951904296875,0.00144195556640625,0.0,0.8788337707519531,0.049846649169921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,Attention_UNet,0.0823211669921875,0.016231536865234375,1.1444091796875e-05,0.0,0.86566162109375,0.049846649169921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,Attention_ResUNet,0.051342010498046875,0.012264251708984375,0.0,0.0,0.9296760559082031,0.049846649169921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,UNet,0.06760787963867188,0.016582489013671875,0.001422882080078125,0.0,0.9295997619628906,0.035846710205078125
