image,dilution,dilution_label,tile_idx,position_y,position_x,density
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,23,1536,1024,0.0061531067
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,24,1536,1536,0.008934021
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,25,1536,2048,0.0061187744
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,26,1536,2560,0.005470276
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,27,1536,3072,0.0061798096
640x_2025-05-16_00-59-00_002.tif,640,640x,0,0,0,0.08602905
640x_2025-05-16_00-59-00_002.tif,640,640x,1,0,512,0.07746887
640x_2025-05-16_00-59-00_002.tif,640,640x,2,0,1024,0.056316376
640x_2025-05-16_00-59-00_002.tif,640,640x,3,0,1536,0.04889679
640x_2025-05-16_00-59-00_002.tif,640,640x,4,0,2048,0.043567657
640x_2025-05-16_00-59-00_002.tif,640,640x,5,0,2560,0.03834915
640x_2025-05-16_00-59-00_002.tif,640,640x,6,0,3072,0.030887604
640x_2025-05-16_00-59-00_002.tif,640,640x,7,512,0,0.07864761
640x_2025-05-16_00-59-00_002.tif,640,640x,8,512,512,0.059509277
640x_2025-05-16_00-59-00_002.tif,640,640x,9,512,1024,0.042907715
640x_2025-05-16_00-59-00_002.tif,640,640x,10,512,1536,0.04039383
640x_2025-05-16_00-59-00_002.tif,640,640x,11,512,2048,0.034687042
640x_2025-05-16_00-59-00_002.tif,640,640x,12,512,2560,0.04102707
640x_2025-05-16_00-59-00_002.tif,640,640x,13,512,3072,0.0410347
640x_2025-05-16_00-59-00_002.tif,640,640x,14,1024,0,0.07449341
640x_2025-05-16_00-59-00_002.tif,640,640x,15,1024,512,0.046215057
640x_2025-05-16_00-59-00_002.tif,640,640x,16,1024,1024,0.035736084
640x_2025-05-16_00-59-00_002.tif,640,640x,17,1024,1536,0.025856018
640x_2025-05-16_00-59-00_002.tif,640,640x,18,1024,2048,0.025707245
640x_2025-05-16_00-59-00_002.tif,640,640x,19,1024,2560,0.03100586
640x_2025-05-16_00-59-00_002.tif,640,640x,20,1024,3072,0.050430298
640x_2025-05-16_00-59-00_002.tif,640,640x,21,1536,0,0.0703125
640x_2025-05-16_00-59-00_002.tif,640,640x,22,1536,512,0.050460815
640x_2025-05-16_00-59-00_002.tif,640,640x,23,1536,1024,0.036128998
640x_2025-05-16_00-59-00_002.tif,640,640x,24,1536,1536,0.031772614
640x_2025-05-16_00-59-00_002.tif,640,640x,25,1536,2048,0.025585175
640x_2025-05-16_00-59-00_002.tif,640,640x,26,1536,2560,0.03848648
640x_2025-05-16_00-59-00_002.tif,640,640x,27,1536,3072,0.05588913
80x_2_2025-05-22_14-48-00.tif,80,80x,0,0,0,0.62789917
80x_2_2025-05-22_14-48-00.tif,80,80x,1,0,512,0.6181526
80x_2_2025-05-22_14-48-00.tif,80,80x,2,0,1024,0.6026459
80x_2_2025-05-22_14-48-00.tif,80,80x,3,0,1536,0.6037941
80x_2_2025-05-22_14-48-00.tif,80,80x,4,0,2048,0.58683395
80x_2_2025-05-22_14-48-00.tif,80,80x,5,0,2560,0.59129715
80x_2_2025-05-22_14-48-00.tif,80,80x,6,0,3072,0.5871086
80x_2_2025-05-22_14-48-00.tif,80,80x,7,512,0,0.60705185
80x_2_2025-05-22_14-48-00.tif,80,80x,8,512,512,0.5645561
