image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
320x_2025-05-15_02-05-00.tif,320,320x,6,0,3072,0.09902191,0.7657928466796875,0.7250709533691406
320x_2025-05-15_02-05-00.tif,320,320x,7,512,0,0.13254547,0.7143096923828125,0.793548583984375
320x_2025-05-15_02-05-00.tif,320,320x,8,512,512,0.10512161,0.7257423400878906,0.8281288146972656
320x_2025-05-15_02-05-00.tif,320,320x,9,512,1024,0.096637726,0.7239151000976562,0.8358688354492188
320x_2025-05-15_02-05-00.tif,320,320x,10,512,1536,0.085357666,0.7342453002929688,0.8479690551757812
320x_2025-05-15_02-05-00.tif,320,320x,11,512,2048,0.08862686,0.7422370910644531,0.8457412719726562
320x_2025-05-15_02-05-00.tif,320,320x,12,512,2560,0.083805084,0.7719345092773438,0.850006103515625
320x_2025-05-15_02-05-00.tif,320,320x,13,512,3072,0.08831787,0.7787628173828125,0.8394889831542969
320x_2025-05-15_02-05-00.tif,320,320x,14,1024,0,0.12067795,0.7091255187988281,0.7888717651367188
320x_2025-05-15_02-05-00.tif,320,320x,15,1024,512,0.093803406,0.7332191467285156,0.8364105224609375
320x_2025-05-15_02-05-00.tif,320,320x,16,1024,1024,0.083789825,0.73260498046875,0.8415260314941406
320x_2025-05-15_02-05-00.tif,320,320x,17,1024,1536,0.07745743,0.7474021911621094,0.851348876953125
320x_2025-05-15_02-05-00.tif,320,320x,18,1024,2048,0.075984955,0.7550048828125,0.8507804870605469
320x_2025-05-15_02-05-00.tif,320,320x,19,1024,2560,0.06952667,0.7689971923828125,0.8611106872558594
320x_2025-05-15_02-05-00.tif,320,320x,20,1024,3072,0.0838356,0.7691879272460938,0.8420639038085938
320x_2025-05-15_02-05-00.tif,320,320x,21,1536,0,0.12933731,0.6833381652832031,0.6761550903320312
320x_2025-05-15_02-05-00.tif,320,320x,22,1536,512,0.097724915,0.7205390930175781,0.8254165649414062
320x_2025-05-15_02-05-00.tif,320,320x,23,1536,1024,0.09103775,0.7233772277832031,0.8291740417480469
320x_2025-05-15_02-05-00.tif,320,320x,24,1536,1536,0.078567505,0.7392349243164062,0.8422203063964844
320x_2025-05-15_02-05-00.tif,320,320x,25,1536,2048,0.08644867,0.7319412231445312,0.8309402465820312
320x_2025-05-15_02-05-00.tif,320,320x,26,1536,2560,0.07731247,0.7600021362304688,0.8445549011230469
320x_2025-05-15_02-05-00.tif,320,320x,27,1536,3072,0.09492493,0.7353515625,0.8242988586425781
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,0,0,0,0.0075531006,0.9331207275390625,0.651580810546875
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,1,0,512,0.005001068,0.9876289367675781,0.5965995788574219
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,2,0,1024,0.0046577454,0.8005409240722656,0.5187225341796875
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,3,0,1536,0.0052108765,0.956878662109375,0.5730247497558594
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,4,0,2048,0.003768921,0.8130378723144531,0.6719245910644531
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,5,0,2560,0.0028800964,0.7034645080566406,0.5486984252929688
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,6,0,3072,0.0037384033,0.6563262939453125,0.65826416015625
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,7,512,0,0.011577606,0.8937187194824219,0.6975555419921875
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,8,512,512,0.005126953,0.8506355285644531,0.5931243896484375
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,9,512,1024,0.0055656433,0.9833793640136719,0.6010551452636719
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,10,512,1536,0.0062561035,0.9580268859863281,0.5430870056152344
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,11,512,2048,0.005859375,0.9614982604980469,0.6318588256835938
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,12,512,2560,0.0053634644,0.9591827392578125,0.7315635681152344
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,13,512,3072,0.0047683716,0.7583885192871094,0.5884552001953125
